# Audience:	Internal
# Language:	zh-CN
# Last Updated:	2026-03-11
# Owner:	Shared
case_id	case_name	industry	target	action	result	time	evidence_level	evidence_type	source_path	public_use	risk_note	owner	status
CASE-001	新品记忆建立项目	美妆	在新品上市前建立搜索记忆并提升品牌账号关注	先以搜索广告预热，再结合站内信息流和线下联动活动	产品搜索环比提升40倍，专业号涨粉4w+	原案例结果时间窗 TODO_REQUIRED_FROM_MIA（抓取于2026-03-11）	B	官网案例文本	week1/audit_raw/root.html	yes	缺原始后台截图	Shared	active
CASE-002	新品首发爆发项目	美妆	推动新品首发阶段快速破圈与互动	分层人群策略+KFS 组合+信息流放大+搜索卡位	主推色3天售罄，UGC总互动量超171万	原案例结果时间窗 TODO_REQUIRED_FROM_MIA（抓取于2026-03-11）	B	官网案例文本	week1/audit_raw/root.html	yes	缺成交口径定义	Shared	active
CASE-003	品牌力与交易协同项目	美妆	兼顾品牌心智巩固与交易提升	KOL口碑内容+信息流与搜索双通道投放	品牌排名搜索提升6位，交易金额环比提升193%	原案例结果时间窗 TODO_REQUIRED_FROM_MIA（抓取于2026-03-11）	B	官网案例文本	week1/audit_raw/root.html	yes	缺交易口径与基线说明	Shared	active
CASE-004	母婴精准触达项目	母婴	提升目标人群触达与品牌搜索表现	围绕亲子和喂养场景产出内容，结合人群定向和评论区口碑维护	品牌搜索环比提升10%，品牌排名提升至TOP7	原案例结果时间窗 TODO_REQUIRED_FROM_MIA（抓取于2026-03-11）	B	官网案例文本	week1/audit_raw/root.html	yes	缺统计周期	Shared	active
CASE-005	家清扩圈项目	家清	突破原有客群并扩大品类曝光	针对不同人群做差异化内容并以信息流扩量，再以搜索承接	曝光量3600万+，点击量119万+	原案例结果时间窗 TODO_REQUIRED_FROM_MIA（抓取于2026-03-11）	B	官网案例文本	week1/audit_raw/root.html	yes	缺点击去重口径	Shared	active
CASE-006	零食心智重塑项目	食品	将产品心智从单点卖点升级为多场景消费	多场景内容种草+多垂类达人合作+信息流与搜索联动	搜索指数提升781%，笔记发布指数提升400%	原案例结果时间窗 TODO_REQUIRED_FROM_MIA（抓取于2026-03-11）	B	官网案例文本	week1/audit_raw/root.html	yes	缺指数平台定义	Shared	active
CASE-007	明星代言分层投放项目	家电	在年轻用户中提升进店与用户结构质量	代言人内容+分层人群定制素材+信息流和搜索精准投放	搜索进店同比提升187%，35岁以下用户占比提升39%	原案例结果时间窗 TODO_REQUIRED_FROM_MIA（抓取于2026-03-11）	B	官网案例文本	week1/audit_raw/root.html	yes	缺用户结构样本量	Shared	active
CASE-008	平台人群规模事实	平台数据	说明平台流量规模与人群特征	引用站点关于小红书公开数据描述	月活2.6亿，每日笔记曝光300亿，高线城市50%，年轻用户70%，被种草比例81%	数据更新时间 TODO_REQUIRED_FROM_MIA（抓取于2026-03-11）	B	官网说明文本	week1/audit_raw/root.html	yes	缺第三方报告出处	Shared	active
CASE-009	英文站案例一致性核验	跨语内容	确保英文页面与中文数据口径一致	核对英文页案例指标与中文页指标	关键指标在中英文页面一致，包括40倍、193%、781%、3600万+等	核验时间2026-03-11	B	页面交叉核对	week1/audit_raw/en.html	internal_only	不作为独立营销成果	Shared	active
CASE-010	联系方式与主体信息核验	品牌基础	确保对外联系信息可用	核对页脚联系方式和备案信息	地址、电话、邮箱、备案号均可在现站抓取到	核验时间2026-03-11	A	页脚明文信息	week1/audit_raw/root.html	yes	主体法定名称仍待补	Shared	active
