Audience: Internal
Language: zh-CN
Last Updated: 2026-03-11
Owner: Shared
Audit Datetime: 2026-03-11 16:18:57 HKT (+0800)

issue_id,问题,严重度,影响,工作量,责任人,建议修复周次,性质,验收标准,证据
SEO-001,robots.txt 返回 404,Critical,爬虫抓取规则缺失并降低抓取可控性,S,Ema,W1,事实,https://yamaguchitech.cn/robots.txt 返回 200 且含 Allow/Disallow 与 sitemap 声明,https://yamaguchitech.cn/robots.txt
SEO-002,sitemap.xml 返回 404,Critical,索引发现效率低且无法提交完整 URL 地图,S,Ema,W1,事实,https://yamaguchitech.cn/sitemap.xml 返回 200 且包含 / /en /tw 及核心子页,https://yamaguchitech.cn/sitemap.xml
SEO-003,三语页面缺失 canonical,High,重复 URL 信号无法归并并影响索引稳定性,S,Ema,W1,事实,首页与三语页均存在自引用 canonical 标签,https://yamaguchitech.cn
SEO-004,三语页面缺失 hreflang,High,多语言版本无法正确互相标注导致地域语言匹配差,S,Ema,W1,事实,/ /en /tw 互相声明 hreflang 与 x-default,https://yamaguchitech.cn/en
SEO-005,三语 title/description/keywords 完全重复,High,语言意图错配并降低多语搜索相关性,M,Mia,W2,事实,三语元数据唯一化且与页面语言一致,https://yamaguchitech.cn/tw
SEO-006,所有审计页 h1=0,High,主题主标题缺失影响页面语义与可理解性,S,Ema,W2,事实,每个页面至少 1 个语义清晰且唯一的 h1,https://yamaguchitech.cn
SEO-007,图片 alt 质量低（33 图仅 6 个非空）,Medium,图像搜索与可访问性信号弱,M,Ema,W3,事实,关键业务图片 alt 非空覆盖率 >= 90%,https://yamaguchitech.cn
SEO-008,结构化数据缺失（JSON-LD=0）,High,搜索增强展示与机器可引用能力不足,M,Ema,W2,事实,核心页上线 Organization/WebSite/Breadcrumb/FAQ 等 JSON-LD 并通过校验,https://yamaguchitech.cn
SEO-009,可抓取内链极弱（每页仅 1 条站内 a 链接）,High,深层页面发现与权重传递能力不足,M,Ema,W3,事实,导航与正文形成可抓取文本链接网络（每页>=15 条站内链接） ,https://yamaguchitech.cn
SEO-010,品牌词英文检索存在实体混淆,Medium,Global 品牌召回与信任链路受损,M,Mia,W3,推断,统一英文品牌命名并构建品牌实体页与外链一致性,https://www.bing.com/search?q=YamaguchiTech
SEO-011,核心服务词下域名可见度弱,High,获客词流量份额低,L,Shared,W4,推断,服务页集群上线并进入核心服务词前 20,https://www.bing.com/search?q=Xiaohongshu+marketing+agency
SEO-012,GEO 真值基线缺失（模型端到端不可复验）,Medium,无法建立可信 GEO KPI 追踪,M,Shared,W4,事实,固定 3 个模型 + 固定提示词 + 20 问复测并沉淀周报,https://www.bing.com/search?q=site%3Ayamaguchitech.cn
