Audience: Internal
Language: zh-CN
Last Updated: 2026-03-11
Owner: Shared
risk_id,risk,impact,trigger_condition,mitigation,owner,severity,probability,status,todo_flag
R-001,仓库未初始化导致无权限边界与审计,协作不可控且无法追责,多人开始协作但仍用本地文件传递,在2026-03-13前创建远程仓库并开启受保护分支,Shared,高,高,Open,TODO_REQUIRED_FROM_MIA
R-002,管理员单点导致治理失效,管理员不可用时无法处理紧急权限与发布,唯一管理员离线超过4小时,设置备份管理员并完成最小化授权,Ema,高,中,Open,TODO_REQUIRED_FROM_EMA
R-003,分支保护缺失引发直接提交主干,未经审查代码进入生产,存在main直接push权限,启用main保护并禁止直接push,Ema,高,高,Open,TODO_REQUIRED_FROM_EMA
R-004,CI缺失导致低质量变更进入主干,回归缺陷与故障概率上升,PR未触发自动检查或检查不完整,落地lint test build secret-scan dependency-scan,Ema,高,高,Open,TODO_REQUIRED_FROM_EMA
R-005,审批规则不清导致责任冲突,发布延迟或错误放行,PR涉及跨域改动但无强制审批人,配置CODEOWNERS并固化目录审批规则,Shared,中,高,Open,TODO_REQUIRED_FROM_MIA
R-006,发布窗口未定义导致高峰变更,用户体验受损与业务波动,在业务高峰执行常规发布,设定固定发布窗口与冻结窗口,Mia,中,中,Open,TODO_REQUIRED_FROM_MIA
R-007,回滚预案缺失导致故障扩大,故障恢复时间延长并扩大影响,发布后出现P1问题且无可用回滚基线,每次发布前确认稳定Tag并演练回滚,Ema,高,中,Open,TODO_REQUIRED_FROM_EMA
R-008,密钥与配置管理不规范,潜在安全泄露与环境故障,凭据散落在本地或仓库明文,启用密钥托管与secret-scan并最小化访问权限,Ema,高,中,Open,TODO_REQUIRED_FROM_EMA
R-009,内容与分析变更越权,非授权角色修改关键目录,角色权限未按目录白名单实施,按目录分组授权并在CI加路径策略检查,Shared,中,中,Open,TODO_REQUIRED_FROM_MIA
R-010,发布后验证不足导致隐性问题滞留,问题发现滞后且修复成本上升,发布后2小时内未完成监控和业务验收,执行发布后双阶段验证并在发布单签收,Shared,中,中,Open,TODO_REQUIRED_FROM_MIA
