Audience: Internal
Language: zh-CN
Last Updated: 2026-03-16
Owner: Ema

市场,竞品,来源池,业务定位,目标ICP,产品化形态,AI引擎覆盖声明,页面结构覆盖(服务/FAQ/案例/资源),转化设计评分(1-5),技术可引用评分(1-5),llms.txt,robots.txt,sitemap更新信号,公司信息透明度评分(1-5),公司背景关键信号,价格透明度,分发足迹评分(1-5),综合威胁评分(0-100),威胁等级,关键证据
CN,YouFind AIPOGEO,独立SERP,GEO+AI SEO专项,HK与中国市场品牌客户,"Assessment Report + Service plan + success stories","ChatGPT/Gemini/Perplexity等相关词出现",是(高),5,2,HTTP/2 404,HTTP/2 404,2026-03-16,3,"香港地址与YouFind体系（细节待确认）",低,3,84,P1,"https://www.aipogeo.com/en/ ; https://www.youfind.hk/about ; https://search.brave.com/search?q=YouFind%20AIPOGEO&source=web ; https://www.aipogeo.com/sitemap.xml"
CN,First Page HK,独立SERP,"SEO for AI服务化",HK及跨区域企业客户,"框架化交付 + 咨询转化","服务页提及ChatGPT/Gemini/Perplexity（历史样本）",是(高),5,4,待确认,待确认,待确认(历史样本有更新),3,"主页含LocalBusiness地址(HK)",低到中,4,82,P1,"https://www.firstpage.hk/seo-for-ai/ ; https://www.firstpage.hk/ ; https://search.brave.com/search?q=First%20Page%20SEO%20for%20AI%20Hong%20Kong&source=web ; https://www.firstpage.hk/sitemap.xml"
CN,AI SEO+ HK,独立SERP,AI SEO+品牌增长组合,HK及出海品牌,"SEO服务 + 案例 + 资源联动","AI SEO相关词高频",是(中高),5,4,HTTP/2 404,HTTP/2 200,2026-03-12T11:07:23+00:00,4,"版权主体JPG Group Limited",中,4,80,P1,"https://aimarketing.com.hk/en/seo-service/ ; https://aimarketing.com.hk/en/about-us/ ; https://search.brave.com/search?q=aimarketing%20ai%20seo%20hong%20kong&source=web ; https://aimarketing.com.hk/sitemap.xml"
CN,Charlesworth,独立SERP,AEO/GEO+中国渠道,国际品牌中国与APAC增长,"Audit + GEO服务 + 渠道打包","ChatGPT/Gemini/Perplexity/AI Overviews等词出现",是(中高),4,4,HTTP/1.1 301,HTTP/1.1 200,无lastmod(weekly策略可见),5,"Since 1998 + 多地办公室(UK/Beijing等)",低,4,83,P1,"https://www.charlesworth-group.com/aeo-geo-optimisation-services ; https://www.charlesworth-group.com/about-us ; https://search.brave.com/search?q=Charlesworth%20AEO%20GEO&source=web ; https://www.charlesworth-group.com/sitemap.xml"
CN,Marketing to China (GMA),独立SERP,中国渠道增长服务(可承接GEO协同),海外品牌入华,"渠道服务 + 咨询型交付","GEO/AEO词弱，渠道词强",是(中),4,3,HTTP/2 404,HTTP/2 200,2026-03-04T08:00:19+00:00,5,"上海/北京/深圳等办公室与创始人公开",中,4,76,P1,"https://marketingtochina.com/xiaohongshu-agency-china/ ; https://marketingtochina.com/about-us/ ; https://search.brave.com/search?q=Marketing%20to%20China%20xiaohongshu%20agency&source=web ; https://marketingtochina.com/sitemap_index.xml"
GLOBAL,NoGood,Concurate外补充+SERP,AEO专项服务,增长型与B2B品牌,"AEO服务 + FAQPage + 内容飞轮","ChatGPT/Gemini/Perplexity/Claude等强覆盖",是(高),5,5,HTTP/2 200,HTTP/2 200,2026-03-12T19:30:37+00:00,5,"NY总部信号 + Berma LLC DBA NoGood",低,4,90,P1,"https://nogood.io/answer-engine-optimization-service/ ; https://nogood.io/ ; https://search.brave.com/search?q=NoGood%20answer%20engine%20optimization%20service&source=web ; https://nogood.io/sitemap.xml"
GLOBAL,Omnius,Concurate候选,GEO/AI SEO专项,AI/SaaS/Fintech/B2B,"引擎专项页集群 + GEO agency + AI search audit","ChatGPT/Gemini/Perplexity/Claude等覆盖",是(高),5,4,HTTP/2 200,HTTP/2 200,2026-03-01,3,"about页含Founded信号(细节待确认)",低到中,4,87,P1,"https://www.omnius.so/geo-agency ; https://www.omnius.so/about ; https://search.brave.com/search?q=Omnius%20GEO%20agency&source=web ; https://www.omnius.so/sitemap.xml"
GLOBAL,First Page Sage,Concurate候选,Generative Engine Optimization服务,中大型B2B企业,"GEO服务页 + 咨询导向",ChatGPT/Gemini/Perplexity相关词出现,是(中),3,4,HTTP/2 404,HTTP/2 200,无lastmod/待确认,2,"公司透明度中等(公开细节有限)",低,3,72,P2,"https://firstpagesage.com/generative-engine-optimization/ ; https://firstpagesage.com/contact/ ; https://search.brave.com/search?q=First%20Page%20Sage%20generative%20engine%20optimization&source=web ; https://firstpagesage.com/sitemap.xml ; https://concurate.com/best-generative-engine-optimization-companies-ai-visibility/"
GLOBAL,Victorious,Concurate候选,AEO服务(SEO体系延展),企业与多行业品牌,"AEO服务 + FAQ结构 + SEO体系",AEO词与AI术语覆盖高,是(高),5,4,HTTP/2 404,HTTP/2 200,2026-03-13T17:49:10+00:00,4,"company页有Chicago/New York等信号",高(页面有价格相关词高频),4,86,P1,"https://victorious.com/services/answer-engine-optimization/ ; https://victorious.com/company/ ; https://search.brave.com/search?q=Victorious%20answer%20engine%20optimization%20service&source=web ; https://victorious.com/sitemap.xml ; https://concurate.com/best-generative-engine-optimization-companies-ai-visibility/"
GLOBAL,WebFX,Concurate候选,AI Search Optimization/OmniSEO,中大型企业与多行业客户,"AI Search服务 + 案例库 + 内容平台",AI Search相关声明明确,是(高),5,4,HTTP/2 200,HTTP/2 200,2026-03-13T17:05:31+00:00,3,"about页完整(公司主体细节待二次抽样)",高(价格/套餐相关词高频),5,88,P1,"https://www.webfx.com/seo/services/ai-search-optimization/ ; https://www.webfx.com/about/ ; https://search.brave.com/search?q=WebFX%20ai%20search%20optimization%20services&source=web ; https://www.webfx.com/sitemap_index.xml ; https://concurate.com/best-generative-engine-optimization-companies-ai-visibility/"
