# Audience: Internal
# Language: zh-CN
# Last Updated: 2026-03-12
# Owner: Shared
ticket_id,phase,module,task,hours,dependency,owner,deliverable,acceptance_criteria,status
W1-06-01,需求冻结,URL策略,确认主域名与URL命名规范,2,,Mia,《URL决策记录》,评审通过并写入技术规格,Todo
W1-06-02,需求冻结,信息架构,确认服务FAQ资源案例四大栏目路径与三语映射,4,W1-06-01,Mia,《栏目与语言映射表》,覆盖根页Hub页详情页且有签字,Todo
W1-06-03,开发,canonical,实现canonical生成与参数清洗逻辑,6,W1-06-01,Ema,canonical helper,抽检20页仅1条canonical且URL正确,Todo
W1-06-04,开发,重定向,实现历史路径到新路径与域名规范301,6,W1-06-01,Ema,重定向规则配置,无循环跳转且链路长度<=1,Todo
W1-06-05,开发,hreflang,实现三语与x-default输出及互链校验,7,W1-06-02,Ema,hreflang helper,抽检20页闭环通过率100%,Todo
W1-06-06,开发,robots,新增生产robots并隔离预发环境,3,W1-06-01,Ema,robots输出逻辑,生产200且包含Sitemap行,Todo
W1-06-07,需求冻结,索引策略,确认索引白名单黑名单路径清单,2,W1-06-06,Mia,《索引策略清单》,清单与robots规则一致,Todo
W1-06-08,开发,sitemap基础,实现sitemap index与三语基础子图,7,W1-06-02,Ema,sitemap生成器,XML可解析且无404 URL,Todo
W1-06-09,开发,sitemap拆分,实现services faq resources cases子图拆分,6,W1-06-08,Ema,分栏目子sitemap,子图均可访问并被index引用,Todo
W1-06-10,开发,sitemap触发,接入发布下线slug变更触发重建,5,W1-06-09,Ema,触发任务与日志,内容变更后5分钟内sitemap更新,Todo
W1-06-11,内容准备,schema映射,整理Organization Service FAQ Breadcrumb字段映射,4,W1-06-02,Mia,《Schema字段映射表》,四类模板字段来源完整,Todo
W1-06-12,开发,schema注入,实现四类schema注入去重与报错日志,8,W1-06-11,Ema,JSON-LD工厂与注入,模板命中正确且无重复,Todo
W1-06-13,需求冻结,GA4口径,确认对标事件字典与转化定义,3,W1-06-11,Mia,《GA4事件口径表》,事件名参数口径冻结,Todo
W1-06-14,开发,GA4埋点,实现关键事件上报与公共参数注入,7,W1-06-13,Ema,GA4埋点SDK,DebugView参数完整率>=95%,Todo
W1-06-15,内容建设,FAQ Hub,完成FAQ Hub结构与12个问题内容定稿,10,W1-06-02,Mia,FAQ Hub与12题文稿,问题短答长答CTA完整,Todo
W1-06-16,开发,FAQ页面,实现FAQ Hub与详情页模板及发布路由,8,W1-06-15,Ema,FAQ页面模板与路由,12页可访问可索引并命中FAQPage,Todo
W1-06-17,内容建设,资源中心,完成资源中心信息架构与8篇选题定稿,8,W1-06-02,Mia,资源中心选题与文稿,8篇内容可发布含目标关键词,Todo
W1-06-18,开发,资源页面,实现资源中心模板详情页与列表页,7,W1-06-17,Ema,资源中心页面模板,列表与详情三语可访问,Todo
W1-06-19,内容建设,服务页拆分,确认4条渠道服务页内容与差异化卖点,6,W1-06-02,Mia,4条服务页内容包,每页包含流程案例FAQ锚点CTA,Todo
W1-06-20,开发,服务页落地,实现4条渠道服务页路由与页面,7,W1-06-19,Ema,服务页模板与路由,4页三语可访问并命中Service schema,Todo
W1-06-21,内容建设,案例模板,完成6个案例页统一模板改写与量化字段补齐,8,W1-06-02,Mia,6个案例页文稿,每页至少3个量化结果字段,Todo
W1-06-22,开发,案例结构,实现案例模板字段渲染与结构化校验,5,W1-06-21,Ema,案例模板实现,字段完整展示且可被抓取,Todo
W1-06-23,需求冻结,内链策略,确认首页与页脚入口及关键互链规则,3,W1-06-02,Mia,《内链与导航规则》,服务案例资源FAQ入口明确,Todo
W1-06-24,开发,内链落地,实现首页页脚入口与关键页互链修复,5,W1-06-23,Ema,导航与内链改造,关键页互链覆盖率>90%,Todo
W1-06-25,需求冻结,SERP周报,确认16个核心关键词与周报口径,3,W1-06-02,Mia,《SERP周报口径》,关键词清单与频次冻结,Todo
W1-06-26,开发,SERP自动化,实现周报脚本与TSV归档流程,6,W1-06-25,Ema,周报脚本与产物目录,每周自动产出且可追溯,Todo
W1-06-27,测试,QA自动化,更新QA脚本覆盖FAQ资源服务案例检查,6,W1-06-16|W1-06-18|W1-06-20|W1-06-22|W1-06-24,Ema,QA脚本与执行日志,脚本可一键输出Pass Fail,Todo
W1-06-28,测试,UAT验收,执行UAT并确认业务与内容验收结论,4,W1-06-27,Mia,UAT验收记录,关键路径全部通过且问题闭环,Todo
W1-06-29,发布准备,监控告警,配置上线后性能转化索引告警阈值,4,W1-06-14,Ema,监控面板与告警规则,告警演练5分钟内触达,Todo
W1-06-30,发布准备,回滚演练,完成最近稳定版本回滚演练与记录,4,W1-06-29,Ema,回滚演练记录,15分钟内回滚并恢复关键链路,Todo
W1-06-31,上线,发布执行,按Runbook执行灰度与全量上线,3,W1-06-28|W1-06-30,Ema,发布记录与版本标记,灰度全量检查全部通过,Todo
W1-06-32,上线后,观察复盘,完成24小时观察归档与优化项登记,3,W1-06-31,Mia,《上线观察与复盘》,复盘含指标趋势异常与行动项,Todo
