# Audience:	External
# Language:	zh-CN
# Last Updated:	2026-03-16
# Owner:	Shared
page_id	locale	slug	title	meta_description	meta_keywords	og_title	og_description	canonical_path	robots
META-001	zh-CN	/services	小红书全链路营销服务 | Yamaguchi	覆盖账号认证、内容运营、达人协作、广告投放与数据复盘的小红书全链路增长服务。	小红书营销,内容运营,达人投放,广告投放,品牌增长	小红书全链路营销服务	从策略到执行再到复盘，帮助品牌在小红书建立可持续增长。 	/services	index,follow
META-002	en	/services	End-to-End Xiaohongshu Growth Services | Yamaguchi	Integrated Xiaohongshu services across account setup, content, creators, media, and analytics.	Xiaohongshu marketing,creator strategy,paid media,content operations,brand growth	End-to-End Xiaohongshu Growth Services	Goal-led execution from strategy to optimization for repeatable growth.	/en/services	index,follow
META-003	zh-CN	/services/account-verification	企业号认证与基础搭建服务 | Yamaguchi	为品牌提供小红书企业号认证流程支持与主页基础搭建建议，帮助账号快速进入可运营状态。	企业号认证,账号搭建,小红书企业号	企业号认证与基础搭建	认证流程更清晰，账号上线更高效。	/services/account-verification	index,follow
META-004	en	/services/account-verification	Official Account Verification Service | Yamaguchi	Verification process support and account foundation setup for Xiaohongshu business accounts.	official account verification,Xiaohongshu account setup	Official Account Verification Service	Launch a compliant and operational account foundation faster.	/en/services/account-verification	index,follow
META-005	zh-CN	/services/strategy	品牌评估与增长策略服务 | Yamaguchi	基于品牌现状、人群与竞品分析，输出可执行的阶段增长策略与优先级路线图。	品牌策略,增长策略,小红书策略	品牌评估与增长策略	从诊断到路线图，明确每个阶段该做什么。	/services/strategy	index,follow
META-006	en	/services/strategy	Brand Diagnosis and Growth Strategy | Yamaguchi	Actionable growth roadmaps based on brand diagnostics, audience insights, and competitor context.	brand strategy,growth roadmap,audience insight	Brand Diagnosis and Growth Strategy	Turn fragmented efforts into a clear, phased execution plan.	/en/services/strategy	index,follow
META-007	zh-CN	/services/content-ops	内容创作与账号运营服务 | Yamaguchi	建立稳定内容排期与发布机制，持续优化笔记质量和账号增长效率。	内容运营,小红书笔记,账号运营	内容创作与账号运营	围绕目标人群持续输出高质量内容。	/services/content-ops	index,follow
META-008	en	/services/content-ops	Content Creation and Account Operations | Yamaguchi	Structured planning and publishing systems to improve content consistency and account growth efficiency.	content operations,post planning,account growth	Content Creation and Account Operations	Build consistency, improve quality, and scale what works.	/en/services/content-ops	index,follow
META-009	zh-CN	/services/creator-program	KOL/KOC 组合种草服务 | Yamaguchi	通过分层达人策略提升口碑可信度和人群覆盖效率，并与内容和投放协同。	KOL,KOC,达人营销,种草	KOL/KOC 组合种草服务	分层达人策略，兼顾覆盖、信任和转化。	/services/creator-program	index,follow
META-010	en	/services/creator-program	KOL/KOC Creator Programs | Yamaguchi	Layered creator programs that improve social proof, audience quality, and conversion support.	KOL strategy,KOC strategy,creator marketing,social proof	KOL/KOC Creator Programs	Combine creator trust with structured performance goals.	/en/services/creator-program	index,follow
META-011	zh-CN	/services/paid-media	广告投放与放大服务 | Yamaguchi	支持信息流、搜索、品牌专区和开屏等投放组合，持续优化效率与结果。	信息流广告,搜索广告,品牌专区,开屏广告	广告投放与放大服务	以目标为核心设计投放结构和迭代策略。	/services/paid-media	index,follow
META-012	en	/services/paid-media	Paid Media Planning and Amplification | Yamaguchi	Objective-led media mix across feed, search, brand zone, and splash formats with ongoing optimization.	paid media,feed ads,search ads,media mix	Paid Media Planning and Amplification	Scale reach and efficiency with structured media execution.	/en/services/paid-media	index,follow
META-013	zh-CN	/services/analytics	数据分析与复盘优化服务 | Yamaguchi	通过周报、月报与复盘机制，持续沉淀可执行的增长优化动作。	数据分析,运营复盘,增长优化	数据分析与复盘优化服务	让每次复盘都转化为下一步增长动作。	/services/analytics	index,follow
META-014	en	/services/analytics	Analytics and Iteration Service | Yamaguchi	Weekly and monthly reporting systems that convert insights into next-cycle execution actions.	analytics,performance reporting,growth iteration	Analytics and Iteration Service	From data signals to clear next actions.	/en/services/analytics	index,follow
META-015	zh-CN	/faq	小红书营销常见问题 | Yamaguchi	汇总合作流程、服务范围、投放策略、数据口径与合规边界等高频问题。	FAQ,小红书营销,合作流程	小红书营销常见问题	30个高频问题，快速了解合作方式与执行边界。	/faq	index,follow
META-016	en	/faq	Xiaohongshu Marketing FAQ | Yamaguchi	Answers to common questions on scope, workflow, media strategy, measurement, and compliance boundaries.	FAQ,Xiaohongshu marketing,agency workflow	Xiaohongshu Marketing FAQ	30 practical answers on delivery model and boundaries.	/en/faq	index,follow
META-017	zh-CN	/cases	小红书案例摘要 | Yamaguchi	查看目标、动作、结果、时间与证据等级结构化案例摘要。	案例,增长案例,小红书案例	小红书案例摘要	结构化查看历史项目结果与证据等级。	/cases	index,follow
META-018	en	/cases	Xiaohongshu Case Snippets | Yamaguchi	Structured case summaries with goals, actions, outcomes, timing, and evidence levels.	case studies,growth outcomes,Xiaohongshu cases	Xiaohongshu Case Snippets	Review historical outcomes with transparent evidence labels.	/en/cases	index,follow
META-019	zh-CN	/insights/seo-geo-knowledge-library	SEO × GEO 知识分享库（实战版） | Yamaguchi	系统讲解 SEO 与 GEO 的关系、AI 引用机制、内容模板和 30 天落地路线，帮助团队持续提升被 AI 引用概率。	SEO,GEO,AI引用,内容策略,结构化内容,站点优化	SEO × GEO 知识分享库（实战版）	从基础原理到执行模板，建立可持续的 AI 引用可见性能力。	/insights/seo-geo-knowledge-library	index,follow
META-020	en	/insights/seo-geo-knowledge-library	SEO × GEO Knowledge Library (Practical Edition) | Yamaguchi	A practical framework covering SEO-GEO alignment, AI citation mechanics, content templates, and a 30-day implementation plan.	SEO,GEO,AI citation,content strategy,structured content,search optimization	SEO × GEO Knowledge Library (Practical Edition)	Move from theory to execution with a citation-oriented GEO operating model.	/en/insights/seo-geo-knowledge-library	index,follow
META-021	zh-CN	/insights/geo-vs-seo-operating-model	什么是 GEO：不是替代 SEO，而是升级可见性模型 | Yamaguchi	解释 GEO 与 SEO 的关系、差异和协同路径，帮助团队在 AI 搜索时代构建可持续可见性能力。	GEO,SEO,AI引用,可见性,内容策略	什么是 GEO：不是替代 SEO，而是升级可见性模型	从可排名到可引用，建立 AI 时代的可见性运营框架。	/insights/geo-vs-seo-operating-model	index,follow
META-022	en	/en/insights/geo-vs-seo-operating-model	What GEO Is: Not a Replacement for SEO, but a Visibility Upgrade | Yamaguchi	A practical explanation of how GEO and SEO differ, overlap, and work together for AI-era visibility.	GEO,SEO,AI citation,visibility strategy	What GEO Is: Not a Replacement for SEO	Move from ranking-only thinking to citation-ready visibility operations.	/en/insights/geo-vs-seo-operating-model	index,follow
META-023	zh-CN	/insights/ai-citation-system-for-geo	AI 为什么引用你：四层引用系统模型 | Yamaguchi	从检索、解析、证据、更新四层解释 AI 引用机制，并提供可执行优化清单。	AI引用,GEO模型,内容结构,证据链	AI 为什么引用你：四层引用系统模型	理解引用机制，提升页面被 AI 稳定采用的概率。	/insights/ai-citation-system-for-geo	index,follow
META-024	en	/en/insights/ai-citation-system-for-geo	Why AI Cites You: A 4-Layer Citation System | Yamaguchi	A practical model for AI citations across retrieval, parseability, evidence quality, and freshness.	AI citation,GEO framework,content architecture	Why AI Cites You: A 4-Layer Citation System	Design pages that machines can reliably parse, trust, and cite.	/en/insights/ai-citation-system-for-geo	index,follow
META-025	zh-CN	/insights/defensive-geo-brand-narrative	防御型 GEO：保护品牌叙事不被错误答案劫持 | Yamaguchi	建立统一主张、统一证据、统一边界的防御型 GEO 体系，降低误引与叙事漂移风险。	防御型GEO,品牌叙事,AI误引,内容治理	防御型 GEO：保护品牌叙事	通过证据化内容降低 AI 场景中的错误总结风险。	/insights/defensive-geo-brand-narrative	index,follow
META-026	en	/en/insights/defensive-geo-brand-narrative	Defensive GEO: Protect Brand Narrative from AI Misrepresentation | Yamaguchi	Build defensive GEO workflows that reduce AI mis-citation, stale fact spread, and narrative drift.	defensive GEO,brand narrative,AI mis-citation	Defensive GEO: Protect Brand Narrative	Create a verifiable narrative layer that holds under AI summarization.	/en/insights/defensive-geo-brand-narrative	index,follow
META-027	zh-CN	/insights/high-citability-content-blueprints	高引用内容蓝图：定义页、对比页、步骤页、证据页 | Yamaguchi	四类高引用页面模板，帮助内容团队快速构建可抽取、可验证、可复用的知识资产。	内容模板,GEO内容,AI可引用,结构化写作	高引用内容蓝图	用模板化结构提升 AI 引用质量与发布效率。	/insights/high-citability-content-blueprints	index,follow
META-028	en	/en/insights/high-citability-content-blueprints	High-Citability Content Blueprints | Yamaguchi	Four reusable templates for citable pages: definition, comparison, how-to, and evidence formats.	content blueprints,AI citability,GEO writing	High-Citability Content Blueprints	Build extractable, verifiable, and reusable content assets for AI surfaces.	/en/insights/high-citability-content-blueprints	index,follow
META-029	zh-CN	/insights/geo-kpi-framework	GEO 指标体系：从被看到到被转化 | Yamaguchi	构建覆盖技术、内容、引用、业务四层的 GEO 指标体系，避免只看流量的单一判断。	GEO指标,AI可见性,引用监测,增长分析	GEO 指标体系：从被看到到被转化	建立可复盘、可执行、可归因的 GEO 监测框架。	/insights/geo-kpi-framework	index,follow
META-030	en	/en/insights/geo-kpi-framework	GEO KPI Framework: From Visibility to Conversion | Yamaguchi	A four-layer KPI model linking technical health, citation signals, and business outcomes.	GEO KPI,AI visibility,citation tracking	GEO KPI Framework	Measure what matters beyond traffic: trust, citations, and conversion outcomes.	/en/insights/geo-kpi-framework	index,follow
META-031	zh-CN	/insights/product-page-geo-optimization	产品页 GEO 优化：把参数变成可引用证据 | Yamaguchi	用参数结构、适用边界、证据字段和 FAQ 设计，提升产品页在 AI 推荐场景中的可引用质量。	产品页优化,GEO电商,参数结构,AI推荐	产品页 GEO 优化	让产品页从卖点页升级为可验证的决策页。	/insights/product-page-geo-optimization	index,follow
META-032	en	/en/insights/product-page-geo-optimization	GEO for Product Pages: Turn Specs into Citable Evidence | Yamaguchi	How to redesign product pages for AI citation quality with structured specs and explicit boundaries.	product page GEO,AI recommendations,citable specs	GEO for Product Pages	Improve citation trust by making product information decision-grade.	/en/insights/product-page-geo-optimization	index,follow
META-033	zh-CN	/insights/local-multilingual-geo-playbook	本地与多语 GEO：结构化数据与区域可见性 | Yamaguchi	针对多语与本地页面，讲清实体一致性、结构一致性和更新一致性的落地方法。	多语GEO,本地可见性,结构化数据,实体一致性	本地与多语 GEO	用一致性治理提升跨区域 AI 引用稳定性。	/insights/local-multilingual-geo-playbook	index,follow
META-034	en	/en/insights/local-multilingual-geo-playbook	Local and Multilingual GEO Playbook | Yamaguchi	A practical playbook for multilingual and regional visibility with structured fields and entity consistency.	multilingual GEO,local visibility,structured data	Local and Multilingual GEO Playbook	Keep facts consistent across regions and languages for stable AI visibility.	/en/insights/local-multilingual-geo-playbook	index,follow
META-035	zh-CN	/insights/90-day-geo-execution-roadmap	90 天 GEO 执行路线图：中小团队落地版 | Yamaguchi	分三阶段给出 90 天 GEO 执行路径，覆盖基础修复、资产上线和闭环迭代。	GEO路线图,90天执行,内容运营,AI可见性	90 天 GEO 执行路线图	用最小闭环在 90 天内跑出可复用 GEO 系统。	/insights/90-day-geo-execution-roadmap	index,follow
META-036	en	/en/insights/90-day-geo-execution-roadmap	A 90-Day GEO Execution Roadmap | Yamaguchi	A phased 90-day GEO rollout plan for lean teams from technical baseline to iteration loop.	GEO roadmap,90-day plan,AI visibility operations	A 90-Day GEO Execution Roadmap	Launch and stabilize a practical GEO workflow in three phases.	/en/insights/90-day-geo-execution-roadmap	index,follow
META-061	zh-CN	/insights/geo-double-engine-model-2026	GEO 不等于新 SEO：2026 可见性双引擎模型	解释 SEO 与 GEO 的分工与协同，帮助团队构建可被 AI 引用的可见性体系。	GEO,SEO,AI引用,可见性模型	GEO 不等于新 SEO	从可排名到可引用的双引擎增长模型。	/insights/geo-double-engine-model-2026	index,follow
META-062	en	/en/insights/geo-double-engine-model-2026	GEO Is Not New SEO: A 2026 Dual-Engine Model	A practical model showing how SEO and GEO should work together for AI-era visibility.	GEO,SEO,AI citation,visibility model	GEO Is Not New SEO	A dual-engine model for ranking and citation performance.	/en/insights/geo-double-engine-model-2026	index,follow
META-063	zh-CN	/insights/prompt-research-playbook	Prompt Research 实战：从关键词到问题链路	给出 Prompt Research 的采集、分组、验证与发布回写方法。	prompt research,问题链路,GEO内容	Prompt Research 实战	把关键词研究升级为问题链路研究。	/insights/prompt-research-playbook	index,follow
META-064	en	/en/insights/prompt-research-playbook	Prompt Research Playbook: From Keywords to Question Flows	A practical workflow for prompt capture, clustering, validation, and publication mapping.	prompt research,question mapping,GEO content	Prompt Research Playbook	Upgrade from keyword-only SEO to prompt-flow research.	/en/insights/prompt-research-playbook	index,follow
META-065	zh-CN	/insights/defensive-geo-risk-control	防御型 GEO：如何管理 AI 中的叙事风险	用统一主张、统一证据、统一边界降低误引与叙事漂移风险。	防御型GEO,叙事风险,AI误引	防御型 GEO	让品牌被 AI 正确且一致地理解。	/insights/defensive-geo-risk-control	index,follow
META-066	en	/en/insights/defensive-geo-risk-control	Defensive GEO: Managing Narrative Risk in AI Answers	A defensive framework to reduce AI mis-citation, stale fact spread, and narrative drift.	defensive GEO,narrative risk,AI mis-citation	Defensive GEO	Build an accuracy-first narrative protection layer.	/en/insights/defensive-geo-risk-control	index,follow
META-067	zh-CN	/insights/citation-engineering-10-actions	引用工程：提升 AI 采用率的 10 个结构动作	10 个高执行性结构动作，提升页面可解析性与可引用性。	引用工程,AI采用率,结构化内容	引用工程 10 动作	用结构而非篇幅提升 AI 引用概率。	/insights/citation-engineering-10-actions	index,follow
META-068	en	/en/insights/citation-engineering-10-actions	Citation Engineering: 10 Structural Actions for AI Adoption	Ten practical structural actions to improve parseability, trust, and citation consistency.	citation engineering,AI adoption,content structure	Citation Engineering	Use structure, evidence, and clarity to improve citations.	/en/insights/citation-engineering-10-actions	index,follow
META-069	zh-CN	/insights/geo-technical-foundation-checklist	技术底座：AI 时代抓取与索引检查表	覆盖抓取、索引、发现与规范化的技术检查清单。	技术SEO,抓取索引,GEO基础	技术底座检查表	先修地基，再谈引用增长。	/insights/geo-technical-foundation-checklist	index,follow
META-070	en	/en/insights/geo-technical-foundation-checklist	Technical Foundation Checklist for the AI Era	A technical checklist for crawl, index, discovery, and canonical integrity.	technical SEO,crawlability,indexability,GEO foundation	Technical Foundation Checklist	Fix hard technical blockers before scaling GEO content.	/en/insights/geo-technical-foundation-checklist	index,follow
META-071	zh-CN	/insights/local-multi-location-geo	本地与多地点 GEO：结构化数据实操	面向本地和多地点页面，讲清实体一致性与结构化字段设计。	本地GEO,结构化数据,多地点页面	本地与多地点 GEO	减少地址与服务范围误引的实操方法。	/insights/local-multi-location-geo	index,follow
META-072	en	/en/insights/local-multi-location-geo	Local and Multi-Location GEO Workflow	A practical playbook for local fact consistency and structured field governance.	local GEO,structured data,multi-location SEO	Local and Multi-Location GEO	Improve local AI visibility with consistent location facts.	/en/insights/local-multi-location-geo	index,follow
META-073	zh-CN	/insights/product-page-geo-4-layer	产品页 GEO：参数、边界、证据、FAQ 四层设计	把产品页升级为可比较、可验证、可决策的 AI 时代页面。	产品页GEO,参数页,AI推荐	产品页 GEO 四层模型	让产品页成为可引用的决策页面。	/insights/product-page-geo-4-layer	index,follow
META-074	en	/en/insights/product-page-geo-4-layer	GEO for Product Pages: A 4-Layer Model	A four-layer structure for product pages to improve AI recommendation quality.	product page GEO,AI recommendations,citable specs	GEO for Product Pages	Design product pages for decisions, not just persuasion.	/en/insights/product-page-geo-4-layer	index,follow
META-075	zh-CN	/insights/content-debt-and-ai-visibility	内容债务治理：为什么旧内容会拖垮 AI 可见性	解释内容债务对 AI 引用准确率的影响并提供治理方案。	内容债务,AI可见性,内容更新	内容债务治理	用版本化治理减少旧内容误引风险。	/insights/content-debt-and-ai-visibility	index,follow
META-076	en	/en/insights/content-debt-and-ai-visibility	Content Debt and AI Visibility	How stale and conflicting content weakens citation quality and trust.	content debt,AI visibility,content governance	Content Debt and AI Visibility	Reduce citation risk with versioned content governance.	/en/insights/content-debt-and-ai-visibility	index,follow
