# Audience:	Internal
# Language:	zh-CN
# Last Updated:	2026-03-11
# Owner:	Shared
term_id	term_zh	term_en	definition_zh	usage_rule_zh	disallowed_zh
GLS-001	全链路服务	End-to-end Service	覆盖策略执行复盘各环节的服务模式	用于服务总述	一站式包结果
GLS-002	企业号认证	Official Account Verification	品牌账号官方认证流程	用于账号搭建服务	包过认证
GLS-003	品牌评估	Brand Evaluation	对品牌现状人群竞品做系统诊断	用于策略启动阶段	拍脑袋判断
GLS-004	内容策略	Content Strategy	基于目标与人群的选题和表达框架	用于内容规划	随便发
GLS-005	内容排期	Content Calendar	按周期安排发布主题和节奏	用于执行计划	临时想起再发
GLS-006	笔记	Post	小红书内容单元	用于内容交付	文章
GLS-007	达人	Creator	参与合作的创作者统称	用于合作场景	网红全包
GLS-008	KOL	Key Opinion Leader	影响力较高的创作者	用于分层策略	大V必爆
GLS-009	KOC	Key Opinion Consumer	真实消费分享型创作者	用于口碑扩散	素人随便找
GLS-010	种草	Seeding	通过内容激发兴趣和购买意愿	用于效果描述	洗脑
GLS-011	转化	Conversion	从兴趣到行动的结果变化	用于目标定义	必成交
GLS-012	信息流广告	Feed Ads	在信息流中展示的广告形式	用于投放方案	刷屏广告
GLS-013	搜索广告	Search Ads	由关键词触发的广告形式	用于投放方案	关键词堆砌
GLS-014	品牌专区	Brand Zone	搜索结果页品牌专区展示	用于品牌曝光	霸屏
GLS-015	开屏广告	Splash Ads	应用启动时展示的广告形式	用于大曝光阶段	开屏霸占
GLS-016	投放结构	Media Mix	不同广告形式和预算组合	用于投放设计	乱投
GLS-017	人群分层	Audience Segmentation	按特征和意图拆分目标受众	用于策略和投放	全量通投
GLS-018	关键词策略	Keyword Strategy	围绕搜索意图设计关键词体系	用于搜索投放	关键词越多越好
GLS-019	素材测试	Creative Testing	对不同素材进行对比验证	用于优化动作	一次过稿不改
GLS-020	复盘	Retrospective	基于数据总结经验并输出动作	用于周期结束	只汇报不优化
GLS-021	周报	Weekly Report	按周输出执行与数据变化	用于例行沟通	流水账
GLS-022	月报	Monthly Report	按月汇总趋势结论与下月计划	用于阶段管理	堆数据
GLS-023	证据等级	Evidence Level	区分事实可核验程度的等级体系	用于案例管理	主观判断
GLS-024	A级证据	Level A Evidence	可被链接或截图直接核验的证据	用于高风险对外表达	未核验即发布
GLS-025	B级证据	Level B Evidence	来源于官网文本可复核但缺原始报表	用于可控对外表达	等同A级
GLS-026	C级证据	Level C Evidence	来源不完整需补证后才能外发	仅内部参考	直接对外
GLS-027	主张	Claim	对外传达的事实或价值陈述	用于文案主句	口号化承诺
GLS-028	主张-证据映射	Claim-Proof Mapping	每条主张对应证据来源的映射关系	用于发布前校验	无证据发文
GLS-029	边界说明	Scope Boundary	明确服务不包含内容	用于合同和页面	无限范围
GLS-030	试运行期	Pilot Phase	低风险验证策略有效性的阶段	用于项目分期	直接全量
GLS-031	放大期	Scale-up Phase	在验证后扩大投入的阶段	用于预算升级	盲目加预算
GLS-032	增长闭环	Growth Loop	目标执行数据复盘再执行的循环	用于方法论	一次性项目
GLS-033	可追踪指标	Trackable Metrics	可持续记录和比较的指标集合	用于报告体系	感觉不错
GLS-034	曝光	Impressions	内容或广告被看到的次数	用于上层漏斗	触达人数
GLS-035	互动	Engagement	点赞评论收藏等行为总和	用于内容效果	活跃度很高
GLS-036	搜索指数	Search Index	平台内部搜索热度相关指标	用于趋势判断	真实销量
GLS-037	进店	Store Visit	用户进入店铺或承接页行为	用于中下游指标	直接成交
GLS-038	转化率	Conversion Rate	转化行为占比指标	用于效率评估	绝对结果
GLS-039	内容组件	Content Component	可复用的文案结构模板	用于提效生产	即兴发挥
GLS-040	TLDR	TL;DR	先给结论后给细节的组件形式	用于首屏摘要	长篇铺垫
GLS-041	步骤组件	Step-by-step Block	以步骤方式解释流程	用于操作说明	无顺序描述
GLS-042	对比表组件	Comparison Table	并列展示方案差异的结构	用于决策页面	只讲单方案
GLS-043	CTA	Call to Action	引导用户下一步行动的文案	用于页尾和模块末尾	无动作指引
GLS-044	元数据	Metadata	用于搜索和分享的结构化页面信息	用于发布清单	标题随意写
GLS-045	口径一致性	Messaging Consistency	多语言多页面表达保持同一事实	用于质检标准	各写各的
